Model,MAE,RMSE,R2 Score
XGBoost,1151.855712890625,1859.879902036688,0.8340955972671509
CatBoost,1171.8102918621182,1865.8822561598647,0.8330230002350907
LightGBM,1252.284193926966,1915.0791372119052,0.8241017032431162
Random Forest,1184.004946928158,1985.7691138926532,0.8108764170690733
Extra Trees,1238.9182548972765,2143.3322687755685,0.7796732699791884
Gradient Boosting,1526.6631902529307,2267.245464932235,0.7534612057371892
Decision Tree,1422.1194059563627,2460.5956300749594,0.7096186762704445
Linear Regression,1995.301545313992,2935.5596321976527,0.5866956294488659
